date_cleaned,topic_split,count
2007-11-03,armed conflicts and attacks,1
2010-06-02,armed conflicts and attacks,9
2010-06-02,arts and culture,18
2010-06-02,disasters and accidents,9
2010-06-02,international relations,9
2010-06-02,law and crime and politics,9
2010-06-02,politics and elections and economics,9
2010-06-02,science and technology,9
2010-06-02,sports,9
2010-06-03,armed conflicts and attacks,10
2010-06-03,arts and culture,20
2010-06-03,business and economics,10
2010-06-03,disasters and accidents,10
2010-06-03,international relations,10
2010-06-03,law and crime and politics,10
2010-06-03,other current events,10
2010-06-03,politics and elections and economics,10
2010-06-03,science and technology,10
2010-06-04,armed conflicts and attacks,6
2010-06-04,business and economics,6
2010-06-04,disasters and accidents,6
2010-06-04,law and crime and politics,6
2010-06-04,politics and elections and economics,6
2010-06-04,science and technology,6
2010-06-05,disasters and accidents,4
2010-06-05,international relations,4
2010-06-05,religion and politics,4
2010-06-05,sports,4
2010-06-06,armed conflicts and attacks,7
2010-06-06,disasters and accidents,7
2010-06-06,international relations,7
2010-06-06,law and crime and politics,7
2010-06-06,religion and politics,7
2010-06-06,science and technology,14
2010-06-07,armed conflicts and attacks,10
2010-06-07,arts and culture,20
2010-06-07,business and economics,10
2010-06-07,disasters and accidents,10
2010-06-07,international relations,10
2010-06-07,law and crime and politics,10
2010-06-07,politics and elections and economics,10
2010-06-07,science and technology,10
2010-06-07,sports,10
2010-06-08,armed conflicts and attacks,9
2010-06-08,arts and culture,18
2010-06-08,disasters and accidents,9
2010-06-08,international relations,9
2010-06-08,law and crime and politics,9
2010-06-08,politics and elections and economics,9
2010-06-08,religion and politics,9
2010-06-08,science and technology,9
2010-06-09,armed conflicts and attacks,8
2010-06-09,arts and culture,16
2010-06-09,international relations,8
2010-06-09,law and crime and politics,8
2010-06-09,politics and elections and economics,8
2010-06-09,science and technology,8
2010-06-09,sports,8
2010-06-10,armed conflicts and attacks,9
2010-06-10,arts and culture,18
2010-06-10,disasters and accidents,9
2010-06-10,international relations,9
2010-06-10,law and crime and politics,9
2010-06-10,politics and elections and economics,9
2010-06-10,science and technology,9
2010-06-10,sports,9
2010-06-29,other current events,3
2010-06-29,politics and elections and economics,3
2010-06-29,science and technology,3
2010-06-30,other current events,4
2010-06-30,politics and elections and economics,4
2010-06-30,science and technology,4
2010-06-30,sports,4
2010-07-02,other current events,3
2010-07-02,politics and elections and economics,3
2010-07-02,science and technology,3
2010-07-03,other current events,3
2010-07-03,politics and elections and economics,3
2010-07-03,sports,3
2010-07-04,other current events,3
2010-07-04,politics and elections and economics,3
2010-07-04,sports,3
2010-07-05,other current events,3
2010-07-05,politics and elections and economics,3
2010-07-05,science and technology,3
2010-07-06,armed conflicts and attacks,5
2010-07-06,arts and culture,5
2010-07-06,business and economics,5
2010-07-06,law and crime and politics,5
2010-07-06,other current events,5
2010-07-07,armed conflicts and attacks,6
2010-07-07,business and economics,6
2010-07-07,law and crime and politics,6
2010-07-07,other current events,6
2010-07-07,science and technology,6
2010-07-07,sports,6
2010-07-08,armed conflicts and attacks,7
2010-07-08,business and economics,7
2010-07-08,law and crime and politics,7
2010-07-08,other current events,7
2010-07-08,politics and elections and economics,7
2010-07-08,science and technology,7
2010-07-08,sports,7
2010-07-09,armed conflicts and attacks,8
2010-07-09,arts and culture,16
2010-07-09,business and economics,8
2010-07-09,law and crime and politics,8
2010-07-09,politics and elections and economics,8
2010-07-09,science and technology,8
2010-07-09,sports,8
2010-07-10,arts and culture,14
2010-07-10,business and economics,7
2010-07-10,law and crime and politics,7
2010-07-10,politics and elections and economics,7
2010-07-10,science and technology,7
2010-07-10,sports,7
2010-07-11,armed conflicts and attacks,6
2010-07-11,arts and culture,6
2010-07-11,law and crime and politics,6
2010-07-11,politics and elections and economics,6
2010-07-11,science and technology,6
2010-07-11,sports,6
2010-07-12,armed conflicts and attacks,7
2010-07-12,arts and culture,7
2010-07-12,law and crime and politics,7
2010-07-12,other current events,7
2010-07-12,politics and elections and economics,7
2010-07-12,science and technology,7
2010-07-12,sports,7
2010-07-13,armed conflicts and attacks,9
2010-07-13,arts and culture,18
2010-07-13,business and economics,9
2010-07-13,health and environment,9
2010-07-13,law and crime and politics,9
2010-07-13,politics and elections and economics,9
2010-07-13,science and technology,9
2010-07-13,sports,9
2010-07-14,armed conflicts and attacks,8
2010-07-14,arts and culture,8
2010-07-14,business and economics,8
2010-07-14,culture and entertainment,8
2010-07-14,law and crime and politics,8
2010-07-14,politics and elections and economics,8
2010-07-14,science and technology,8
2010-07-14,sports,8
2010-07-15,armed conflicts and attacks,8
2010-07-15,arts and culture,16
2010-07-15,international relations,8
2010-07-15,law and crime and politics,8
2010-07-15,politics and elections and economics,8
2010-07-15,science and technology,8
2010-07-15,sports,8
2010-07-16,armed conflicts and attacks,9
2010-07-16,arts and culture,18
2010-07-16,business and economics,9
2010-07-16,disasters and accidents,9
2010-07-16,law and crime and politics,9
2010-07-16,politics and elections and economics,9
2010-07-16,science and technology,9
2010-07-16,sports,9
2010-07-17,armed conflicts and attacks,10
2010-07-17,arts and culture,20
2010-07-17,business and economics,10
2010-07-17,disasters and accidents,10
2010-07-17,international relations,10
2010-07-17,law and crime and politics,10
2010-07-17,politics and elections and economics,10
2010-07-17,science and technology,10
2010-07-17,sports,10
2010-07-18,armed conflicts and attacks,9
2010-07-18,arts and culture,18
2010-07-18,disasters and accidents,9
2010-07-18,international relations,9
2010-07-18,law and crime and politics,9
2010-07-18,politics and elections and economics,9
2010-07-18,science and technology,9
2010-07-18,sports,9
2010-07-19,armed conflicts and attacks,9
2010-07-19,arts and culture,18
2010-07-19,business and economics,9
2010-07-19,disasters and accidents,9
2010-07-19,international relations,9
2010-07-19,law and crime and politics,9
2010-07-19,politics and elections and economics,9
2010-07-19,science and technology,9
2010-07-20,armed conflicts and attacks,9
2010-07-20,arts and culture,9
2010-07-20,business and economics,9
2010-07-20,disasters and accidents,9
2010-07-20,international relations,9
2010-07-20,law and crime and politics,9
2010-07-20,politics and elections and economics,9
2010-07-20,science and technology,9
2010-07-20,sports,9
2010-07-21,armed conflicts and attacks,9
2010-07-21,arts and culture,9
2010-07-21,business and economics,9
2010-07-21,disasters and accidents,9
2010-07-21,international relations,9
2010-07-21,law and crime and politics,9
2010-07-21,politics and elections and economics,9
2010-07-21,science and technology,9
2010-07-21,sports,9
2010-07-22,armed conflicts and attacks,9
2010-07-22,arts and culture,9
2010-07-22,business and economics,9
2010-07-22,disasters and accidents,9
2010-07-22,international relations,9
2010-07-22,law and crime and politics,9
2010-07-22,politics and elections and economics,9
2010-07-22,science and technology,9
2010-07-22,sports,9
2010-07-23,armed conflicts and attacks,8
2010-07-23,arts and culture,8
2010-07-23,disasters and accidents,8
2010-07-23,international relations,8
2010-07-23,law and crime and politics,8
2010-07-23,politics and elections and economics,8
2010-07-23,science and technology,8
2010-07-23,sports,8
2010-07-24,armed conflicts and attacks,8
2010-07-24,arts and culture,16
2010-07-24,disasters and accidents,8
2010-07-24,law and crime and politics,8
2010-07-24,politics and elections and economics,8
